GPU;Threads;ElemSize;Time
NVIDIA A40;1;4;0.089024
NVIDIA A40;2;4;0.09216
NVIDIA A40;4;4;0.091136
NVIDIA A40;8;4;0.094208
NVIDIA A40;16;4;0.099328
NVIDIA A40;32;4;0.100352
NVIDIA A40;64;4;0.099328
NVIDIA A40;128;4;0.099328
NVIDIA A40;256;4;0.100352
NVIDIA A40;512;4;0.121856
NVIDIA A40;1024;4;0.110592
NVIDIA A40;2048;4;0.11264
NVIDIA A40;3072;4;0.109568
NVIDIA A40;4096;4;0.109568
NVIDIA A40;5120;4;0.110592
NVIDIA A40;6144;4;0.110592
NVIDIA A40;7168;4;0.111648
NVIDIA A40;8192;4;0.111584
NVIDIA A40;9216;4;0.11264
NVIDIA A40;10240;4;0.108544
NVIDIA A40;11264;4;0.111616
NVIDIA A40;12288;4;0.111584
NVIDIA A40;13312;4;0.137216
NVIDIA A40;14336;4;0.139264
NVIDIA A40;15360;4;0.135168
NVIDIA A40;16384;4;0.137216
NVIDIA A40;17408;4;0.128
NVIDIA A40;18432;4;0.11776
NVIDIA A40;19456;4;0.110592
NVIDIA A40;20480;4;0.110592
NVIDIA A40;21504;4;0.111552
NVIDIA A40;22528;4;0.110592
NVIDIA A40;23552;4;0.111616
NVIDIA A40;24576;4;0.113664
NVIDIA A40;25600;4;0.111616
NVIDIA A40;26624;4;0.111616
NVIDIA A40;27648;4;0.114688
NVIDIA A40;28672;4;0.11264
NVIDIA A40;29696;4;0.112608
NVIDIA A40;30720;4;0.113696
NVIDIA A40;31744;4;0.113664
NVIDIA A40;32768;4;0.111616
NVIDIA A40;33792;4;0.113664
NVIDIA A40;34816;4;0.113664
NVIDIA A40;35840;4;0.11264
NVIDIA A40;36864;4;0.11264
NVIDIA A40;37888;4;0.113664
NVIDIA A40;38912;4;0.113664
NVIDIA A40;39936;4;0.123904
NVIDIA A40;40960;4;0.115712
NVIDIA A40;41984;4;0.116736
NVIDIA A40;43008;4;0.116736
NVIDIA A40;44032;4;0.11776
NVIDIA A40;45056;4;0.116736
NVIDIA A40;46080;4;0.11776
NVIDIA A40;47104;4;0.116736
NVIDIA A40;48128;4;0.126976
NVIDIA A40;49152;4;0.142336
NVIDIA A40;50176;4;0.14336
NVIDIA A40;51200;4;0.14336
NVIDIA A40;52224;4;0.144384
NVIDIA A40;53248;4;0.147456
NVIDIA A40;54272;4;0.13312
NVIDIA A40;55296;4;0.119808
NVIDIA A40;56320;4;0.116736
NVIDIA A40;57344;4;0.119808
NVIDIA A40;58368;4;0.11776
NVIDIA A40;59392;4;0.119808
NVIDIA A40;60416;4;0.11776
NVIDIA A40;61440;4;0.142304
NVIDIA A40;62464;4;0.141312
NVIDIA A40;63488;4;0.142336
NVIDIA A40;64512;4;0.145408
NVIDIA A40;65536;4;0.144352
NVIDIA A40;66560;4;0.142336
NVIDIA A40;67584;4;0.145408
NVIDIA A40;68608;4;0.144384
NVIDIA A40;69632;4;0.144384
NVIDIA A40;70656;4;0.1464
NVIDIA A40;71680;4;0.146432
NVIDIA A40;72704;4;0.141312
NVIDIA A40;73728;4;0.14336
NVIDIA A40;74752;4;0.145344
NVIDIA A40;75776;4;0.146432
NVIDIA A40;76800;4;0.144384
NVIDIA A40;77824;4;0.139264
NVIDIA A40;78848;4;0.131072
NVIDIA A40;79872;4;0.121856
NVIDIA A40;80896;4;0.121856
NVIDIA A40;81920;4;0.120832
NVIDIA A40;82944;4;0.119808
NVIDIA A40;83968;4;0.121856
NVIDIA A40;84992;4;0.128
NVIDIA A40;86016;4;0.14848
NVIDIA A40;87040;4;0.14848
NVIDIA A40;88064;4;0.145472
NVIDIA A40;89088;4;0.146432
NVIDIA A40;90112;4;0.147456
NVIDIA A40;91136;4;0.141216
NVIDIA A40;92160;4;0.134144
NVIDIA A40;93184;4;0.12288
NVIDIA A40;94208;4;0.121856
NVIDIA A40;95232;4;0.12288
NVIDIA A40;96256;4;0.123904
NVIDIA A40;97280;4;0.123904
NVIDIA A40;98304;4;0.12288
NVIDIA A40;99328;4;0.125952
